
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
129800        0x1FB08         CRC32 polynomial table, little endian
262630        0x401E6         Unix path: /opt/gk/wangguixing
458752        0x70000         JFFS2 filesystem, little endian
786512        0xC0050         Zlib compressed data, compressed
786568        0xC0088         JFFS2 filesystem, little endian
791088        0xC1230         Zlib compressed data, compressed
791280        0xC12F0         Zlib compressed data, compressed
791472        0xC13B0         Zlib compressed data, compressed
791664        0xC1470         Zlib compressed data, compressed
791856        0xC1530         Zlib compressed data, compressed
792048        0xC15F0         Zlib compressed data, compressed
792240        0xC16B0         Zlib compressed data, compressed
792432        0xC1770         Zlib compressed data, compressed
792624        0xC1830         Zlib compressed data, compressed
792816        0xC18F0         Zlib compressed data, compressed
793008        0xC19B0         Zlib compressed data, compressed
793200        0xC1A70         Zlib compressed data, compressed
793392        0xC1B30         Zlib compressed data, compressed
793584        0xC1BF0         Zlib compressed data, compressed
793776        0xC1CB0         Zlib compressed data, compressed
793968        0xC1D70         Zlib compressed data, compressed
794160        0xC1E30         Zlib compressed data, compressed
794352        0xC1EF0         Zlib compressed data, compressed
794544        0xC1FB0         Zlib compressed data, compressed
795192        0xC2238         Zlib compressed data, compressed
795840        0xC24C0         Zlib compressed data, compressed
796488        0xC2748         Zlib compressed data, compressed
797136        0xC29D0         Zlib compressed data, compressed
797804        0xC2C6C         Zlib compressed data, compressed
798472        0xC2F08         Zlib compressed data, compressed
798968        0xC30F8         Zlib compressed data, compressed
799552        0xC3340         Zlib compressed data, compressed
799740        0xC33FC         Zlib compressed data, compressed
800388        0xC3684         Zlib compressed data, compressed
801036        0xC390C         Zlib compressed data, compressed
801684        0xC3B94         Zlib compressed data, compressed
802332        0xC3E1C         Zlib compressed data, compressed
803000        0xC40B8         Zlib compressed data, compressed
803668        0xC4354         Zlib compressed data, compressed
804164        0xC4544         Zlib compressed data, compressed
804748        0xC478C         Zlib compressed data, compressed
804936        0xC4848         Zlib compressed data, compressed
805584        0xC4AD0         Zlib compressed data, compressed
806232        0xC4D58         Zlib compressed data, compressed
806880        0xC4FE0         Zlib compressed data, compressed
807528        0xC5268         Zlib compressed data, compressed
808128        0xC54C0         JFFS2 filesystem, little endian
852048        0xD0050         Zlib compressed data, compressed
852104        0xD0088         JFFS2 filesystem, little endian
866304        0xD3800         Zlib compressed data, compressed
866496        0xD38C0         Zlib compressed data, compressed
866688        0xD3980         Zlib compressed data, compressed
866880        0xD3A40         Zlib compressed data, compressed
867072        0xD3B00         Zlib compressed data, compressed
867264        0xD3BC0         Zlib compressed data, compressed
867456        0xD3C80         Zlib compressed data, compressed
867648        0xD3D40         Zlib compressed data, compressed
867840        0xD3E00         Zlib compressed data, compressed
868032        0xD3EC0         Zlib compressed data, compressed
868224        0xD3F80         Zlib compressed data, compressed
868416        0xD4040         Zlib compressed data, compressed
868608        0xD4100         Zlib compressed data, compressed
868800        0xD41C0         Zlib compressed data, compressed
868992        0xD4280         Zlib compressed data, compressed
869184        0xD4340         Zlib compressed data, compressed
869376        0xD4400         Zlib compressed data, compressed
869568        0xD44C0         Zlib compressed data, compressed
869760        0xD4580         Zlib compressed data, compressed
869952        0xD4640         Zlib compressed data, compressed
870144        0xD4700         Zlib compressed data, compressed
870336        0xD47C0         Zlib compressed data, compressed
870528        0xD4880         Zlib compressed data, compressed
870720        0xD4940         Zlib compressed data, compressed
870912        0xD4A00         Zlib compressed data, compressed
871104        0xD4AC0         Zlib compressed data, compressed
871296        0xD4B80         Zlib compressed data, compressed
871488        0xD4C40         Zlib compressed data, compressed
871680        0xD4D00         Zlib compressed data, compressed
871872        0xD4DC0         Zlib compressed data, compressed
872064        0xD4E80         Zlib compressed data, compressed
872256        0xD4F40         Zlib compressed data, compressed
872448        0xD5000         Zlib compressed data, compressed
872640        0xD50C0         Zlib compressed data, compressed
872832        0xD5180         Zlib compressed data, compressed
873024        0xD5240         Zlib compressed data, compressed
873216        0xD5300         Zlib compressed data, compressed
873408        0xD53C0         Zlib compressed data, compressed
873600        0xD5480         Zlib compressed data, compressed
873792        0xD5540         Zlib compressed data, compressed
873984        0xD5600         Zlib compressed data, compressed
874176        0xD56C0         Zlib compressed data, compressed
874368        0xD5780         Zlib compressed data, compressed
874560        0xD5840         Zlib compressed data, compressed
874752        0xD5900         Zlib compressed data, compressed
874944        0xD59C0         Zlib compressed data, compressed
875136        0xD5A80         Zlib compressed data, compressed
875328        0xD5B40         Zlib compressed data, compressed
875520        0xD5C00         Zlib compressed data, compressed
875712        0xD5CC0         Zlib compressed data, compressed
875904        0xD5D80         Zlib compressed data, compressed
876096        0xD5E40         Zlib compressed data, compressed
876288        0xD5F00         Zlib compressed data, compressed
876480        0xD5FC0         Zlib compressed data, compressed
876672        0xD6080         Zlib compressed data, compressed
876864        0xD6140         Zlib compressed data, compressed
877056        0xD6200         Zlib compressed data, compressed
877248        0xD62C0         Zlib compressed data, compressed
